task_id,task_type,baseline_mean_ids,intent_mean_ids,baseline_max_ids,intent_max_ids,delta_ids,delta_max_ids,goal_shift,winner
summarization_0_run0,summarization,0.5992,0.5251,0.994,0.9053,-0.074,-0.0887,0.6078,intent
summarization_0_run1,summarization,0.5992,0.5251,0.994,0.9053,-0.074,-0.0887,0.6078,intent
summarization_0_run2,summarization,0.5992,0.5251,0.994,0.9053,-0.074,-0.0887,0.6078,intent
summarization_1_run0,summarization,0.568,0.5371,0.9176,0.8986,-0.031,-0.019,0.5269,intent
summarization_1_run1,summarization,0.568,0.5371,0.9176,0.8986,-0.031,-0.019,0.5269,intent
summarization_1_run2,summarization,0.568,0.5371,0.9176,0.8986,-0.031,-0.019,0.5269,intent
summarization_2_run0,summarization,0.4397,0.4178,0.7878,0.6932,-0.0219,-0.0946,0.5569,intent
summarization_2_run1,summarization,0.4397,0.4178,0.7878,0.6932,-0.0219,-0.0946,0.5569,intent
summarization_2_run2,summarization,0.4397,0.4178,0.7878,0.6932,-0.0219,-0.0946,0.5569,intent
summarization_3_run0,summarization,0.5545,0.5565,0.9241,0.7781,0.002,-0.146,0.6458,baseline
summarization_3_run1,summarization,0.5545,0.5565,0.9241,0.7781,0.002,-0.146,0.6458,baseline
summarization_3_run2,summarization,0.5545,0.5565,0.9241,0.7781,0.002,-0.146,0.6458,baseline
