task_id,task_type,baseline_mean_usd,intent_mean_usd,baseline_max_usd,intent_max_usd,delta_usd,delta_max_usd,ids,winner
planning_4_run0,planning,0.3774,0.2583,0.7704,0.4201,-0.1191,-0.3503,0.6826,intent
planning_4_run1,planning,0.3774,0.2583,0.7704,0.4201,-0.1191,-0.3503,0.6826,intent
planning_4_run2,planning,0.3774,0.2583,0.7704,0.4201,-0.1191,-0.3503,0.6826,intent
planning_5_run0,planning,0.4402,0.3164,0.698,0.6327,-0.1239,-0.0653,0.7929,intent
planning_5_run1,planning,0.4402,0.3164,0.698,0.6327,-0.1239,-0.0653,0.7929,intent
planning_5_run2,planning,0.4402,0.3164,0.698,0.6327,-0.1239,-0.0653,0.7929,intent
planning_6_run0,planning,0.4407,0.4132,0.8028,0.7216,-0.0274,-0.0812,0.8173,intent
planning_6_run1,planning,0.4407,0.4132,0.8028,0.7216,-0.0274,-0.0812,0.8173,intent
planning_6_run2,planning,0.4407,0.4132,0.8028,0.7216,-0.0274,-0.0812,0.8173,intent
planning_7_run0,planning,0.3882,0.2675,0.8822,0.4391,-0.1207,-0.4431,0.6376,intent
planning_7_run1,planning,0.3882,0.2675,0.8822,0.4391,-0.1207,-0.4431,0.6376,intent
planning_7_run2,planning,0.3882,0.2675,0.8822,0.4391,-0.1207,-0.4431,0.6376,intent
summarization_0_run0,summarization,0.4935,0.4206,0.9665,0.7352,-0.0729,-0.2313,0.6078,intent
summarization_0_run1,summarization,0.4935,0.4206,0.9665,0.7352,-0.0729,-0.2313,0.6078,intent
summarization_0_run2,summarization,0.4935,0.4206,0.9665,0.7352,-0.0729,-0.2313,0.6078,intent
summarization_1_run0,summarization,0.4978,0.4345,0.9526,0.8847,-0.0634,-0.0679,0.5269,intent
summarization_1_run1,summarization,0.4978,0.4345,0.9526,0.8847,-0.0634,-0.0679,0.5269,intent
summarization_1_run2,summarization,0.4978,0.4345,0.9526,0.8847,-0.0634,-0.0679,0.5269,intent
summarization_2_run0,summarization,0.3698,0.2906,0.8061,0.6084,-0.0793,-0.1977,0.5569,intent
summarization_2_run1,summarization,0.3698,0.2906,0.8061,0.6084,-0.0793,-0.1977,0.5569,intent
summarization_2_run2,summarization,0.3698,0.2906,0.8061,0.6084,-0.0793,-0.1977,0.5569,intent
summarization_3_run0,summarization,0.4524,0.4148,0.7796,0.6727,-0.0377,-0.1069,0.6458,intent
summarization_3_run1,summarization,0.4524,0.4148,0.7796,0.6727,-0.0377,-0.1069,0.6458,intent
summarization_3_run2,summarization,0.4524,0.4148,0.7796,0.6727,-0.0377,-0.1069,0.6458,intent
